index,source_pdf,page,rendered_png,width,height,png_sha256,jpeg_bytes,jpeg_sampling,jpeg_sha256
0,1000367.pdf,1,0000_1000367_p0001.png,1191,1588,580ffdafac1547507867b0ef11dfa9a3d0dc8096cd663a4a02076342e637891b,798480,4:4:4,126e34294212b9d8a4ef95da2a782717ae5926f32c60228ecfcc395616b7218c
1,1003421.pdf,1,0001_1003421_p0001.png,1224,2016,c35bb65239c5e5b931e80aa553b1a3fc0a2c37f6886d85a9329b8abf5f0f76de,742820,4:4:4,9ebd0db601ecceda95ae199a8fca3c6bf292b86cd6c2c05a985cb3db976e61d3
2,1006540.pdf,1,0002_1006540_p0001.png,1191,1684,a90a75de6c02e84cbe40b9330f2c0d9bfb7d559cb2ce7ceefa3c2a0a02298dac,269616,4:4:4,b92911f59ff2542abf8957646c2049ad586c8086c7d4f35aa41c4c9c5f47f1a4
3,1008059.pdf,1,0003_1008059_p0001.png,1225,1608,61417b71f805925dfaa00cfbdcc6be7e711e9186ffa843ba05398f3b699fb4c8,140474,4:4:4,7fa23bfe5d546ebf2d91848dbb7540a5c1ac003256fab9d7ad2aec92b7d21cdf
4,1009210.pdf,1,0004_1009210_p0001.png,1224,1584,9ad40d189c8bcf0516e59dbde84cdd9e60c7d0d7bcea051df73e0f3b85437c0d,696770,4:4:4,f7b47090329e5f05c0073a0f777aa79613e439940267b908c9d2b786abbf3c17
5,1010876.pdf,1,0005_1010876_p0001.png,1224,1584,084a425cfdd121c25489e339e31dbedea90a4e78e7e40ad05a17cf96fdd481cb,648540,4:4:4,c9787fbd7a86be80846bd0debea431f4a0d237959c7feae0ecc60b250064190c
6,1011810.pdf,1,0006_1011810_p0001.png,1728,2236,d072d6d10568f5f8e3bd71bc759ee453d2d3eed8713ea2928ec38de2a0e4906f,1860027,4:4:4,2024ed5a504dddd63c84a11d0c50bc210d7fc4746b02672f21a041ae2adf9a5e
7,1012538.pdf,1,0007_1012538_p0001.png,1191,1684,cbe2ef082a42d3a3c9cc11ea5c9dab92115b177b3098f74c4fa2039772ca4e72,973930,4:4:4,9e4067e5359ddd5b1503ff8196df3c791c40c74c1270fc8ae975b9f58aabd53a
8,1012891.pdf,1,0008_1012891_p0001.png,1224,1584,ca8c96dcf971be66edfa4ab6ec03a008e3bb17d3d9a3a967dbf6bdc68129cf3c,192173,4:4:4,52710f0d0e11b630fb655a532f29cd4fa35cc1694ac1f5ac7422ecb71a132ef9
9,1014077.pdf,1,0009_1014077_p0001.png,1241,1595,fbf3a997f553a54ceabc502afd9f4cd011acd3798fcc0c83cc676f8cd673ff33,855005,4:4:4,24259cd4faf30a080e6e349b82ae3796543fab2febae3cddbe4a87bebacc2ba4
10,1014669.pdf,1,0010_1014669_p0001.png,1191,1684,0c7e151113f123c2e7792430580a31f6dcc216782efc855dbb5e32b275077198,943288,4:4:4,c0e1fb168cfcf05d4886d3b3954ecf5999c11f60a0453ce43ce33a3db61b234c
11,1015168.pdf,1,0011_1015168_p0001.png,1191,1684,c9ba782db07d0ec74540649bd126451b59236001c84453fe5950ab722e5e03c9,286794,4:4:4,86463d8ef4f5f680fba74bd89c0f154f8a34416c222775e72062db7d8dde8a60
12,1015310.pdf,1,0012_1015310_p0001.png,1224,1584,4ddaf3cc7175223894746668ffe177d4846007f3e012c337ff52f5d8a812ce6f,672918,4:4:4,a4d9df07b08accc44b0e85639149e0d2c968d6102c1f47c120c66201b4fd017d
