,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,total_input_tokens,request_throughput,total_token_throughput,benchmark_started_at_monotonic_s,benchmark_finished_at_monotonic_s,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,_benchmark_name,max_num_seqs,renderer_num_workers,num_warmups
0,20260708-213341,vllm-pooling,vllm-pooling,,/raid/vjawa/tmp/ocr_optimization/nemotron-ocr-v2,,512,inf,1.0,64,1.0706723891198635,0,0,0.0,0.0,18332908.854099367,18332909.924771756,0.0,0.0,0.0,0.0,0,c64,32,4,32
1,20260708-213410,vllm-pooling,vllm-pooling,,/raid/vjawa/tmp/ocr_optimization/nemotron-ocr-v2,,512,inf,1.0,128,11.307566776871681,512,0,45.27941422793423,0.0,18332927.602471087,18332938.910037864,2542.437416166649,2675.344293937087,459.43824013609105,3483.72236777097,0,c128,32,4,32
2,20260708-213438,vllm-pooling,vllm-pooling,,/raid/vjawa/tmp/ocr_optimization/nemotron-ocr-v2,,512,inf,1.0,256,11.458012454211712,512,0,44.684887719056384,0.0,18332955.709461253,18332967.167473707,4455.906056369713,4841.208603233099,1119.6149154635214,6231.840590238571,0,c256,32,4,32
3,20260708-213455,vllm-pooling,vllm-pooling,,/raid/vjawa/tmp/ocr_optimization/nemotron-ocr-v2,,512,inf,1.0,64,1.0005994327366352,0,0,0.0,0.0,18332982.87710471,18332983.877704144,0.0,0.0,0.0,0.0,0,c64,64,1,32
4,20260708-213524,vllm-pooling,vllm-pooling,,/raid/vjawa/tmp/ocr_optimization/nemotron-ocr-v2,,512,inf,1.0,128,11.609409622848034,512,0,44.102156494879154,0.0,18333001.279263817,18333012.88867344,2643.908039906819,2492.9432217031717,692.1833557816846,4911.775038428605,0,c128,64,1,32
5,20260708-213552,vllm-pooling,vllm-pooling,,/raid/vjawa/tmp/ocr_optimization/nemotron-ocr-v2,,512,inf,1.0,256,11.862275641411543,512,0,43.16203867431586,0.0,18333029.531108543,18333041.393384185,5300.133654331148,5159.266173839569,1330.230563812085,8515.441299378872,0,c256,64,1,32
6,20260708-213609,vllm-pooling,vllm-pooling,,/raid/vjawa/tmp/ocr_optimization/nemotron-ocr-v2,,512,inf,1.0,64,1.1535827293992043,0,0,0.0,0.0,18333057.050099175,18333058.203681905,0.0,0.0,0.0,0.0,0,c64,64,2,32
7,20260708-213640,vllm-pooling,vllm-pooling,,/raid/vjawa/tmp/ocr_optimization/nemotron-ocr-v2,,512,inf,1.0,128,11.241939429193735,512,0,45.54374298356456,0.0,18333077.75439495,18333088.996334378,2576.933832875511,2558.859845623374,370.62451211967533,3225.4852864518757,0,c128,64,2,32
8,20260708-213708,vllm-pooling,vllm-pooling,,/raid/vjawa/tmp/ocr_optimization/nemotron-ocr-v2,,512,inf,1.0,256,11.442016791552305,512,0,44.747356111032104,0.0,18333105.34363933,18333116.78565612,4624.281169562892,4637.678327038884,871.6356574872125,6716.17264457047,0,c256,64,2,32
9,20260708-213725,vllm-pooling,vllm-pooling,,/raid/vjawa/tmp/ocr_optimization/nemotron-ocr-v2,,512,inf,1.0,64,0.9968170002102852,0,0,0.0,0.0,18333132.627280544,18333133.624097545,0.0,0.0,0.0,0.0,0,c64,64,4,32
