timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/08 22:46:26.845, 0 %, 0 %, 67303 MiB, 81920 MiB, 36, 74.44 W, 400.00 W, 1155 MHz, 1593 MHz, P0
2026/07/08 22:46:27.114, 0 %, 0 %, 67303 MiB, 81920 MiB, 38, 81.61 W, 400.00 W, 1155 MHz, 1593 MHz, P0
2026/07/08 22:46:27.365, 4 %, 0 %, 67395 MiB, 81920 MiB, 40, 147.20 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:46:27.615, 95 %, 32 %, 67415 MiB, 81920 MiB, 39, 172.99 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:46:27.866, 41 %, 6 %, 67415 MiB, 81920 MiB, 38, 89.85 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:46:28.116, 15 %, 2 %, 67415 MiB, 81920 MiB, 44, 364.41 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:46:28.367, 99 %, 53 %, 67415 MiB, 81920 MiB, 47, 392.59 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:46:28.621, 100 %, 71 %, 67415 MiB, 81920 MiB, 48, 414.08 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:46:28.871, 100 %, 69 %, 67415 MiB, 81920 MiB, 49, 417.13 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:46:29.126, 100 %, 68 %, 67415 MiB, 81920 MiB, 49, 402.60 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:46:29.377, 100 %, 73 %, 67415 MiB, 81920 MiB, 49, 392.27 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:46:29.628, 100 %, 71 %, 67415 MiB, 81920 MiB, 50, 393.79 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:46:29.879, 100 %, 71 %, 67415 MiB, 81920 MiB, 50, 408.64 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:46:30.129, 100 %, 68 %, 67415 MiB, 81920 MiB, 51, 387.42 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:46:30.380, 100 %, 65 %, 67415 MiB, 81920 MiB, 50, 386.22 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:46:30.630, 100 %, 66 %, 67415 MiB, 81920 MiB, 51, 417.45 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/08 22:46:30.881, 100 %, 64 %, 67415 MiB, 81920 MiB, 51, 383.50 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:46:31.131, 100 %, 65 %, 67415 MiB, 81920 MiB, 51, 394.99 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:46:31.382, 100 %, 67 %, 67415 MiB, 81920 MiB, 51, 383.77 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:46:31.632, 100 %, 52 %, 67417 MiB, 81920 MiB, 45, 121.68 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:46:31.882, 46 %, 5 %, 67417 MiB, 81920 MiB, 43, 92.57 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:46:32.141, 14 %, 1 %, 67417 MiB, 81920 MiB, 49, 406.52 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:46:32.391, 100 %, 72 %, 67417 MiB, 81920 MiB, 51, 418.65 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:46:32.642, 100 %, 70 %, 67423 MiB, 81920 MiB, 51, 386.22 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:46:32.893, 100 %, 70 %, 67423 MiB, 81920 MiB, 51, 359.89 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:46:33.144, 100 %, 66 %, 67423 MiB, 81920 MiB, 52, 395.31 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:46:33.394, 100 %, 68 %, 67423 MiB, 81920 MiB, 52, 398.63 W, 400.00 W, 1380 MHz, 1593 MHz, P0
