timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/08 22:37:37.843, 0 %, 0 %, 67303 MiB, 81920 MiB, 38, 75.04 W, 400.00 W, 1155 MHz, 1593 MHz, P0
2026/07/08 22:37:38.114, 12 %, 2 %, 67303 MiB, 81920 MiB, 39, 136.90 W, 400.00 W, 1155 MHz, 1593 MHz, P0
2026/07/08 22:37:38.365, 92 %, 20 %, 67395 MiB, 81920 MiB, 41, 160.88 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:37:38.616, 67 %, 15 %, 67415 MiB, 81920 MiB, 39, 90.82 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:37:38.866, 14 %, 2 %, 67415 MiB, 81920 MiB, 39, 97.09 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:37:39.117, 100 %, 71 %, 67415 MiB, 81920 MiB, 47, 404.12 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:37:39.367, 100 %, 74 %, 67415 MiB, 81920 MiB, 48, 405.59 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:37:39.618, 100 %, 71 %, 67415 MiB, 81920 MiB, 50, 383.50 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:37:39.868, 100 %, 67 %, 67415 MiB, 81920 MiB, 50, 377.14 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:37:40.119, 100 %, 71 %, 67415 MiB, 81920 MiB, 50, 385.63 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:37:40.369, 100 %, 72 %, 67415 MiB, 81920 MiB, 50, 398.63 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:37:40.620, 100 %, 72 %, 67415 MiB, 81920 MiB, 51, 415.33 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:37:40.870, 100 %, 69 %, 67415 MiB, 81920 MiB, 51, 395.90 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/08 22:37:41.121, 100 %, 67 %, 67415 MiB, 81920 MiB, 51, 393.52 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:37:41.371, 100 %, 64 %, 67415 MiB, 81920 MiB, 52, 394.71 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:37:41.622, 100 %, 62 %, 67415 MiB, 81920 MiB, 52, 409.84 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:37:41.872, 100 %, 60 %, 67415 MiB, 81920 MiB, 52, 388.35 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:37:42.123, 100 %, 60 %, 67415 MiB, 81920 MiB, 52, 392.92 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:37:42.373, 100 %, 62 %, 67415 MiB, 81920 MiB, 52, 381.98 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:37:42.624, 85 %, 26 %, 67415 MiB, 81920 MiB, 45, 94.37 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:37:42.874, 5 %, 0 %, 67415 MiB, 81920 MiB, 47, 304.12 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:37:43.125, 100 %, 68 %, 67415 MiB, 81920 MiB, 51, 415.93 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:37:43.376, 100 %, 69 %, 67415 MiB, 81920 MiB, 51, 358.64 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:37:43.627, 100 %, 66 %, 67417 MiB, 81920 MiB, 52, 408.31 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:37:43.877, 100 %, 65 %, 67417 MiB, 81920 MiB, 52, 370.17 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 22:37:44.128, 100 %, 73 %, 67417 MiB, 81920 MiB, 53, 416.20 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:37:44.379, 100 %, 71 %, 67417 MiB, 81920 MiB, 53, 409.84 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:37:44.630, 100 %, 67 %, 67417 MiB, 81920 MiB, 53, 368.98 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:37:44.881, 100 %, 69 %, 67417 MiB, 81920 MiB, 53, 400.75 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:37:45.131, 100 %, 70 %, 67417 MiB, 81920 MiB, 53, 388.35 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:37:45.382, 100 %, 71 %, 67417 MiB, 81920 MiB, 54, 425.29 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/08 22:37:45.632, 100 %, 66 %, 67417 MiB, 81920 MiB, 53, 379.86 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:37:45.883, 100 %, 71 %, 67417 MiB, 81920 MiB, 54, 405.92 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:37:46.133, 100 %, 71 %, 67417 MiB, 81920 MiB, 54, 403.80 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:37:46.384, 100 %, 66 %, 67417 MiB, 81920 MiB, 54, 387.15 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:37:46.635, 100 %, 70 %, 67417 MiB, 81920 MiB, 54, 389.55 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:37:46.885, 100 %, 72 %, 67417 MiB, 81920 MiB, 54, 393.79 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:37:47.136, 100 %, 67 %, 67417 MiB, 81920 MiB, 54, 395.64 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 22:37:47.386, 100 %, 67 %, 67417 MiB, 81920 MiB, 54, 365.71 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 22:37:47.637, 100 %, 68 %, 67417 MiB, 81920 MiB, 55, 408.64 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:37:47.887, 100 %, 66 %, 67419 MiB, 81920 MiB, 55, 426.54 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/08 22:37:48.138, 100 %, 63 %, 67421 MiB, 81920 MiB, 55, 397.10 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:37:48.388, 100 %, 66 %, 67421 MiB, 81920 MiB, 55, 404.12 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/08 22:37:48.638, 100 %, 63 %, 67421 MiB, 81920 MiB, 55, 432.25 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/08 22:37:48.889, 100 %, 65 %, 67423 MiB, 81920 MiB, 55, 395.64 W, 400.00 W, 1365 MHz, 1593 MHz, P0
2026/07/08 22:37:49.139, 100 %, 65 %, 67425 MiB, 81920 MiB, 55, 399.88 W, 400.00 W, 1365 MHz, 1593 MHz, P0
