timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/08 23:48:40.291, 0 %, 0 %, 5759 MiB, 81920 MiB, 33, 74.03 W, 400.00 W, 1155 MHz, 1593 MHz, P0
2026/07/08 23:48:40.549, 0 %, 0 %, 1449 MiB, 81920 MiB, 33, 80.74 W, 400.00 W, 1155 MHz, 1593 MHz, P0
2026/07/08 23:48:40.799, 49 %, 3 %, 1411 MiB, 81920 MiB, 34, 102.60 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:48:41.051, 27 %, 3 %, 1451 MiB, 81920 MiB, 34, 91.05 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:48:41.301, 8 %, 2 %, 1409 MiB, 81920 MiB, 34, 91.05 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:48:41.552, 9 %, 1 %, 1409 MiB, 81920 MiB, 34, 99.22 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:48:41.802, 9 %, 1 %, 1509 MiB, 81920 MiB, 35, 91.05 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:48:42.054, 17 %, 3 %, 1529 MiB, 81920 MiB, 34, 130.19 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:48:42.304, 10 %, 2 %, 1491 MiB, 81920 MiB, 35, 89.85 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:48:42.555, 11 %, 3 %, 1511 MiB, 81920 MiB, 37, 167.69 W, 400.00 W, 1185 MHz, 1593 MHz, P0
2026/07/08 23:48:42.805, 57 %, 6 %, 2399 MiB, 81920 MiB, 35, 166.43 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:48:43.056, 29 %, 4 %, 4725 MiB, 81920 MiB, 35, 92.57 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:48:43.307, 57 %, 30 %, 2643 MiB, 81920 MiB, 38, 331.71 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:48:43.557, 99 %, 46 %, 2483 MiB, 81920 MiB, 38, 109.58 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:48:43.808, 55 %, 8 %, 2585 MiB, 81920 MiB, 37, 99.22 W, 400.00 W, 1410 MHz, 1593 MHz, P0
