timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/09 04:35:38.499, 0 %, 0 %, 8451 MiB, 81920 MiB, 37, 75.04 W, 400.00 W, 1155 MHz, 1593 MHz, P0
2026/07/09 04:35:38.759, 0 %, 0 %, 8451 MiB, 81920 MiB, 37, 75.04 W, 400.00 W, 1155 MHz, 1593 MHz, P0
2026/07/09 04:35:39.009, 0 %, 0 %, 1409 MiB, 81920 MiB, 37, 101.45 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:39.260, 63 %, 2 %, 1389 MiB, 81920 MiB, 38, 131.11 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:39.510, 26 %, 2 %, 1409 MiB, 81920 MiB, 37, 90.82 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:39.761, 9 %, 2 %, 1429 MiB, 81920 MiB, 38, 93.60 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:40.011, 13 %, 1 %, 1409 MiB, 81920 MiB, 38, 91.64 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:40.262, 6 %, 0 %, 1469 MiB, 81920 MiB, 38, 91.47 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:40.512, 13 %, 3 %, 1549 MiB, 81920 MiB, 38, 103.20 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:40.762, 9 %, 2 %, 1455 MiB, 81920 MiB, 38, 91.14 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:41.013, 10 %, 3 %, 1529 MiB, 81920 MiB, 39, 96.92 W, 400.00 W, 1155 MHz, 1593 MHz, P0
2026/07/09 04:35:41.263, 26 %, 6 %, 1471 MiB, 81920 MiB, 40, 250.47 W, 400.00 W, 1245 MHz, 1593 MHz, P0
2026/07/09 04:35:41.514, 36 %, 6 %, 1465 MiB, 81920 MiB, 37, 79.57 W, 400.00 W, 1245 MHz, 1593 MHz, P0
2026/07/09 04:35:41.766, 46 %, 13 %, 5805 MiB, 81920 MiB, 43, 361.13 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:42.017, 100 %, 43 %, 3941 MiB, 81920 MiB, 39, 223.09 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:42.268, 70 %, 10 %, 4561 MiB, 81920 MiB, 40, 167.26 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:42.518, 66 %, 14 %, 2941 MiB, 81920 MiB, 40, 119.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:42.769, 49 %, 16 %, 3381 MiB, 81920 MiB, 42, 114.70 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:43.019, 58 %, 18 %, 4021 MiB, 81920 MiB, 40, 164.48 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:43.270, 48 %, 13 %, 3283 MiB, 81920 MiB, 40, 159.63 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:43.520, 64 %, 19 %, 3161 MiB, 81920 MiB, 41, 94.10 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:43.771, 39 %, 14 %, 2881 MiB, 81920 MiB, 40, 153.58 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:44.022, 23 %, 6 %, 37141 MiB, 81920 MiB, 39, 91.47 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:44.272, 1 %, 0 %, 27441 MiB, 81920 MiB, 41, 91.47 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 04:35:44.523, 100 %, 3 %, 2921 MiB, 81920 MiB, 38, 94.10 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:44.773, 100 %, 5 %, 8041 MiB, 81920 MiB, 38, 100.26 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:45.024, 100 %, 3 %, 3621 MiB, 81920 MiB, 39, 104.40 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:45.274, 100 %, 9 %, 4021 MiB, 81920 MiB, 40, 390.14 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:45.525, 73 %, 14 %, 4781 MiB, 81920 MiB, 43, 106.85 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:45.775, 71 %, 15 %, 3601 MiB, 81920 MiB, 41, 394.99 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:46.026, 59 %, 18 %, 4761 MiB, 81920 MiB, 43, 164.48 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:46.276, 57 %, 21 %, 6681 MiB, 81920 MiB, 44, 258.96 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:46.527, 62 %, 41 %, 5821 MiB, 81920 MiB, 44, 122.01 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:46.777, 93 %, 17 %, 4785 MiB, 81920 MiB, 45, 143.27 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:47.028, 91 %, 44 %, 4785 MiB, 81920 MiB, 41, 91.74 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:47.278, 8 %, 0 %, 1721 MiB, 81920 MiB, 42, 228.63 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:47.529, 62 %, 12 %, 2501 MiB, 81920 MiB, 42, 97.43 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:47.779, 46 %, 12 %, 1761 MiB, 81920 MiB, 40, 93.17 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:48.030, 36 %, 7 %, 1841 MiB, 81920 MiB, 40, 267.46 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:48.280, 43 %, 15 %, 2281 MiB, 81920 MiB, 40, 153.90 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:48.531, 36 %, 10 %, 1901 MiB, 81920 MiB, 41, 318.38 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 04:35:48.782, 40 %, 10 %, 1961 MiB, 81920 MiB, 40, 92.57 W, 400.00 W, 1410 MHz, 1593 MHz, P0
