timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/08 23:28:12.389, 2 %, 0 %, 17649 MiB, 81920 MiB, 41, 92.25 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:12.669, 0 %, 0 %, 17649 MiB, 81920 MiB, 41, 91.37 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:12.920, 4 %, 0 %, 17649 MiB, 81920 MiB, 40, 92.84 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:13.170, 4 %, 0 %, 17649 MiB, 81920 MiB, 40, 91.97 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:13.421, 37 %, 25 %, 18269 MiB, 81920 MiB, 44, 327.80 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:13.671, 100 %, 64 %, 18269 MiB, 81920 MiB, 47, 334.77 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:13.922, 100 %, 67 %, 18269 MiB, 81920 MiB, 49, 323.83 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:14.172, 100 %, 62 %, 18269 MiB, 81920 MiB, 50, 387.42 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:14.422, 53 %, 21 %, 18269 MiB, 81920 MiB, 45, 123.81 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:14.673, 5 %, 0 %, 18269 MiB, 81920 MiB, 42, 92.57 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:14.924, 4 %, 0 %, 18269 MiB, 81920 MiB, 41, 97.09 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:15.174, 4 %, 0 %, 18269 MiB, 81920 MiB, 41, 91.05 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:15.424, 4 %, 0 %, 18269 MiB, 81920 MiB, 40, 91.05 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:15.675, 50 %, 34 %, 18269 MiB, 81920 MiB, 45, 360.16 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:15.925, 100 %, 65 %, 18269 MiB, 81920 MiB, 48, 372.30 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:16.176, 100 %, 66 %, 18269 MiB, 81920 MiB, 50, 405.59 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/08 23:28:16.427, 100 %, 60 %, 18269 MiB, 81920 MiB, 51, 384.11 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:16.677, 100 %, 50 %, 18269 MiB, 81920 MiB, 44, 98.95 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:16.927, 3 %, 0 %, 18269 MiB, 81920 MiB, 42, 95.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:17.178, 3 %, 0 %, 18269 MiB, 81920 MiB, 41, 94.10 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:17.428, 4 %, 0 %, 18269 MiB, 81920 MiB, 41, 93.50 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:17.678, 4 %, 0 %, 18269 MiB, 81920 MiB, 46, 383.50 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:17.929, 65 %, 43 %, 18269 MiB, 81920 MiB, 49, 387.15 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/08 23:28:18.179, 100 %, 66 %, 18269 MiB, 81920 MiB, 49, 332.93 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/08 23:28:18.430, 100 %, 58 %, 18269 MiB, 81920 MiB, 51, 388.35 W, 400.00 W, 1410 MHz, 1593 MHz, P0
