timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/09 05:11:43.728, 0 %, 0 %, 60278 MiB, 81920 MiB, 37, 74.71 W, 400.00 W, 1155 MHz, 1593 MHz, P0
2026/07/09 05:11:43.998, 0 %, 0 %, 60278 MiB, 81920 MiB, 37, 74.71 W, 400.00 W, 1155 MHz, 1593 MHz, P0
2026/07/09 05:11:44.248, 4 %, 1 %, 60290 MiB, 81920 MiB, 39, 151.77 W, 400.00 W, 1155 MHz, 1593 MHz, P0
2026/07/09 05:11:44.499, 81 %, 17 %, 60374 MiB, 81920 MiB, 44, 265.61 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 05:11:44.753, 92 %, 33 %, 60374 MiB, 81920 MiB, 47, 436.49 W, 400.00 W, 1380 MHz, 1593 MHz, P0
2026/07/09 05:11:45.004, 100 %, 71 %, 60374 MiB, 81920 MiB, 48, 421.37 W, 400.00 W, 1305 MHz, 1593 MHz, P0
2026/07/09 05:11:45.254, 100 %, 71 %, 60374 MiB, 81920 MiB, 49, 394.99 W, 400.00 W, 1305 MHz, 1593 MHz, P0
2026/07/09 05:11:45.505, 100 %, 75 %, 60374 MiB, 81920 MiB, 49, 413.48 W, 400.00 W, 1230 MHz, 1593 MHz, P0
2026/07/09 05:11:45.756, 100 %, 76 %, 60374 MiB, 81920 MiB, 50, 368.32 W, 400.00 W, 1320 MHz, 1593 MHz, P0
2026/07/09 05:11:46.006, 100 %, 71 %, 60374 MiB, 81920 MiB, 50, 383.90 W, 400.00 W, 1320 MHz, 1593 MHz, P0
2026/07/09 05:11:46.256, 100 %, 74 %, 60374 MiB, 81920 MiB, 50, 388.67 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/09 05:11:46.510, 100 %, 67 %, 60374 MiB, 81920 MiB, 51, 385.30 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/09 05:11:46.780, 100 %, 66 %, 60374 MiB, 81920 MiB, 51, 372.89 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/09 05:11:47.031, 100 %, 64 %, 60374 MiB, 81920 MiB, 51, 424.69 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/09 05:11:47.282, 100 %, 65 %, 60374 MiB, 81920 MiB, 51, 419.58 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/09 05:11:47.533, 100 %, 67 %, 60374 MiB, 81920 MiB, 47, 282.93 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 05:11:47.783, 94 %, 39 %, 60374 MiB, 81920 MiB, 45, 192.73 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 05:11:48.035, 93 %, 51 %, 60374 MiB, 81920 MiB, 51, 442.26 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/09 05:11:48.285, 100 %, 73 %, 60374 MiB, 81920 MiB, 51, 394.71 W, 400.00 W, 1305 MHz, 1593 MHz, P0
2026/07/09 05:11:48.536, 100 %, 69 %, 60454 MiB, 81920 MiB, 52, 414.41 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/09 05:11:48.787, 100 %, 75 %, 60594 MiB, 81920 MiB, 51, 372.89 W, 400.00 W, 1305 MHz, 1593 MHz, P0
2026/07/09 05:11:49.037, 100 %, 70 %, 60594 MiB, 81920 MiB, 52, 367.13 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/09 05:11:49.288, 100 %, 73 %, 60954 MiB, 81920 MiB, 52, 408.97 W, 400.00 W, 1305 MHz, 1593 MHz, P0
2026/07/09 05:11:49.539, 100 %, 69 %, 60954 MiB, 81920 MiB, 52, 382.30 W, 400.00 W, 1305 MHz, 1593 MHz, P0
2026/07/09 05:11:49.789, 100 %, 76 %, 60954 MiB, 81920 MiB, 52, 387.15 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/09 05:11:50.040, 100 %, 71 %, 60954 MiB, 81920 MiB, 53, 393.79 W, 400.00 W, 1305 MHz, 1593 MHz, P0
2026/07/09 05:11:50.291, 100 %, 68 %, 60954 MiB, 81920 MiB, 53, 400.75 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/09 05:11:50.542, 100 %, 72 %, 61094 MiB, 81920 MiB, 53, 386.22 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/09 05:11:50.792, 100 %, 69 %, 61094 MiB, 81920 MiB, 53, 397.43 W, 400.00 W, 1350 MHz, 1593 MHz, P0
2026/07/09 05:11:51.043, 100 %, 68 %, 61234 MiB, 81920 MiB, 53, 395.31 W, 400.00 W, 1320 MHz, 1593 MHz, P0
2026/07/09 05:11:51.293, 100 %, 66 %, 61236 MiB, 81920 MiB, 53, 414.41 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/09 05:11:51.544, 100 %, 70 %, 61236 MiB, 81920 MiB, 54, 397.76 W, 400.00 W, 1335 MHz, 1593 MHz, P0
2026/07/09 05:11:51.794, 100 %, 72 %, 61398 MiB, 81920 MiB, 54, 417.72 W, 400.00 W, 1305 MHz, 1593 MHz, P0
2026/07/09 05:11:52.045, 100 %, 71 %, 61398 MiB, 81920 MiB, 54, 394.71 W, 400.00 W, 1305 MHz, 1593 MHz, P0
