timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/09 00:54:30.979, 40 %, 13 %, 22859 MiB, 81920 MiB, 39, 90.40 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:31.237, 0 %, 0 %, 22859 MiB, 81920 MiB, 38, 90.72 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:31.487, 4 %, 0 %, 22859 MiB, 81920 MiB, 37, 89.53 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:31.738, 4 %, 0 %, 22859 MiB, 81920 MiB, 37, 91.00 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:31.988, 4 %, 0 %, 22859 MiB, 81920 MiB, 37, 225.68 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:32.239, 100 %, 64 %, 22859 MiB, 81920 MiB, 46, 313.26 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 00:54:32.489, 100 %, 68 %, 22859 MiB, 81920 MiB, 49, 405.56 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 00:54:32.740, 100 %, 61 %, 22859 MiB, 81920 MiB, 51, 394.14 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:32.990, 100 %, 50 %, 22859 MiB, 81920 MiB, 46, 393.73 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:33.241, 4 %, 0 %, 22859 MiB, 81920 MiB, 39, 95.00 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:33.491, 4 %, 0 %, 22859 MiB, 81920 MiB, 39, 91.33 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:33.742, 4 %, 0 %, 22859 MiB, 81920 MiB, 38, 90.40 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:33.992, 3 %, 0 %, 22859 MiB, 81920 MiB, 37, 90.40 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:34.242, 60 %, 40 %, 22859 MiB, 81920 MiB, 45, 352.50 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:34.493, 100 %, 66 %, 22859 MiB, 81920 MiB, 47, 362.48 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:34.745, 100 %, 66 %, 22859 MiB, 81920 MiB, 49, 383.49 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 00:54:34.995, 100 %, 59 %, 22859 MiB, 81920 MiB, 51, 398.07 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:35.247, 32 %, 8 %, 22859 MiB, 81920 MiB, 42, 103.52 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:35.497, 1 %, 0 %, 22859 MiB, 81920 MiB, 39, 94.39 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:35.748, 4 %, 0 %, 22859 MiB, 81920 MiB, 39, 91.65 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:35.998, 4 %, 0 %, 22859 MiB, 81920 MiB, 38, 90.40 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:36.318, 60 %, 40 %, 22859 MiB, 81920 MiB, 48, 384.69 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 00:54:36.569, 100 %, 66 %, 22859 MiB, 81920 MiB, 49, 363.14 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:36.819, 100 %, 59 %, 22859 MiB, 81920 MiB, 51, 389.88 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:37.070, 100 %, 50 %, 22859 MiB, 81920 MiB, 52, 398.66 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:37.320, 100 %, 50 %, 22859 MiB, 81920 MiB, 42, 92.86 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:37.571, 1 %, 0 %, 22859 MiB, 81920 MiB, 40, 94.39 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:37.821, 4 %, 0 %, 22859 MiB, 81920 MiB, 39, 90.72 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:38.071, 4 %, 0 %, 22859 MiB, 81920 MiB, 39, 91.65 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:38.322, 4 %, 0 %, 22859 MiB, 81920 MiB, 46, 383.17 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:38.572, 29 %, 19 %, 22859 MiB, 81920 MiB, 48, 337.27 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 00:54:38.823, 100 %, 67 %, 22859 MiB, 81920 MiB, 50, 344.26 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 00:54:39.073, 100 %, 64 %, 22859 MiB, 81920 MiB, 52, 392.88 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:39.324, 100 %, 50 %, 22859 MiB, 81920 MiB, 45, 125.13 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:39.574, 79 %, 37 %, 22859 MiB, 81920 MiB, 41, 91.93 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:39.825, 3 %, 0 %, 22859 MiB, 81920 MiB, 40, 92.53 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:40.075, 5 %, 0 %, 22859 MiB, 81920 MiB, 39, 91.00 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:40.326, 4 %, 0 %, 22859 MiB, 81920 MiB, 47, 384.69 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:40.576, 37 %, 25 %, 22859 MiB, 81920 MiB, 49, 346.71 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:40.827, 100 %, 68 %, 22859 MiB, 81920 MiB, 51, 374.38 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 00:54:41.077, 100 %, 62 %, 22859 MiB, 81920 MiB, 53, 391.68 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:41.328, 100 %, 50 %, 22859 MiB, 81920 MiB, 43, 93.13 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:41.578, 37 %, 11 %, 22859 MiB, 81920 MiB, 41, 93.13 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:41.828, 4 %, 0 %, 22859 MiB, 81920 MiB, 40, 92.86 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:42.079, 4 %, 0 %, 22859 MiB, 81920 MiB, 39, 92.26 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:42.329, 4 %, 0 %, 22859 MiB, 81920 MiB, 49, 398.66 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:42.580, 79 %, 52 %, 22859 MiB, 81920 MiB, 50, 392.01 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:42.830, 100 %, 65 %, 22859 MiB, 81920 MiB, 52, 390.15 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:43.081, 100 %, 55 %, 22859 MiB, 81920 MiB, 53, 327.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:43.332, 75 %, 34 %, 22859 MiB, 81920 MiB, 42, 92.53 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:43.582, 9 %, 0 %, 22859 MiB, 81920 MiB, 41, 93.13 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:43.833, 4 %, 0 %, 22859 MiB, 81920 MiB, 40, 91.00 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:44.083, 4 %, 0 %, 22859 MiB, 81920 MiB, 40, 92.26 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:44.334, 20 %, 12 %, 22859 MiB, 81920 MiB, 48, 361.01 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 00:54:44.587, 100 %, 65 %, 22859 MiB, 81920 MiB, 51, 371.60 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:44.838, 100 %, 64 %, 22859 MiB, 81920 MiB, 53, 388.03 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:45.088, 100 %, 50 %, 22859 MiB, 81920 MiB, 49, 394.41 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:45.339, 53 %, 21 %, 22859 MiB, 81920 MiB, 43, 97.73 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:45.592, 5 %, 0 %, 22859 MiB, 81920 MiB, 41, 92.26 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:45.842, 4 %, 0 %, 22859 MiB, 81920 MiB, 40, 91.93 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:46.092, 3 %, 0 %, 22859 MiB, 81920 MiB, 40, 92.26 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:46.343, 26 %, 17 %, 22859 MiB, 81920 MiB, 48, 375.86 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 00:54:46.599, 100 %, 67 %, 22859 MiB, 81920 MiB, 51, 399.27 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 00:54:46.851, 100 %, 64 %, 22859 MiB, 81920 MiB, 53, 391.35 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:47.102, 100 %, 50 %, 22859 MiB, 81920 MiB, 47, 115.99 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:47.354, 62 %, 26 %, 22859 MiB, 81920 MiB, 44, 98.33 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 00:54:47.605, 3 %, 0 %, 22859 MiB, 81920 MiB, 41, 94.66 W, 400.00 W, 1410 MHz, 1593 MHz, P0
