timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/07/09 01:06:06.336, 14 %, 0 %, 20065 MiB, 81920 MiB, 44, 94.76 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:06.592, 0 %, 0 %, 20065 MiB, 81920 MiB, 42, 91.75 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:06.842, 2 %, 0 %, 20065 MiB, 81920 MiB, 42, 92.63 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:07.092, 5 %, 0 %, 20065 MiB, 81920 MiB, 41, 92.36 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:07.343, 5 %, 0 %, 20065 MiB, 81920 MiB, 46, 193.04 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:07.593, 86 %, 57 %, 20065 MiB, 81920 MiB, 51, 396.21 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:07.844, 100 %, 69 %, 20065 MiB, 81920 MiB, 52, 385.89 W, 400.00 W, 1395 MHz, 1593 MHz, P0
2026/07/09 01:06:08.124, 100 %, 55 %, 20065 MiB, 81920 MiB, 55, 403.85 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:08.374, 87 %, 40 %, 20065 MiB, 81920 MiB, 48, 127.71 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:08.625, 13 %, 0 %, 20065 MiB, 81920 MiB, 43, 93.55 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:08.875, 3 %, 0 %, 20065 MiB, 81920 MiB, 43, 92.63 W, 400.00 W, 1410 MHz, 1593 MHz, P0
2026/07/09 01:06:09.125, 3 %, 0 %, 20065 MiB, 81920 MiB, 42, 93.89 W, 400.00 W, 1410 MHz, 1593 MHz, P0
